superficie_afectada_por_incendios_anio;superficie_afectada_por_incendios_provincia;superficie_afectada_por_incendios_total_hectareas;superficie_afectada_por_incendios_bosque_nativo_hectareas;superficie_afectada_por_incendios_bosque_cultivado_hectareas;superficie_afectada_por_incendios_arbustal_hectareas;superficie_afectada_por_incendios_pastizal_hectareas;superficie_afectada_por_incendios_sin_determinar_hectareas;;;;;;;;;;;;;;;;;;
1993;Buenos Aires;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Catamarca;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Chaco;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Chubut;149.5;10;6.25;0;133.25;0;;;;;;;;;;;;;;;;;;
1993;Córdoba;232941;59995;250;0;172696;0;;;;;;;;;;;;;;;;;;
1993;Corrientes;1727;0;918;0;809;0;;;;;;;;;;;;;;;;;;
1993;Entre Ríos;75;75;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Formosa;31;0;26;0;5;0;;;;;;;;;;;;;;;;;;
1993;Jujuy;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;La Pampa;1207510;1207510;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;La Rioja;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Mendoza;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Misiones;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Neuquén;340.85;282.31;6;0;52.54;0;;;;;;;;;;;;;;;;;;
1993;Río Negro;111;108;0;0;3;0;;;;;;;;;;;;;;;;;;
1993;Salta;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;San Juan;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;San Luis;330147;0;0;0;330147;0;;;;;;;;;;;;;;;;;;
1993;Santa Cruz;6351;727;0;0;5624;0;;;;;;;;;;;;;;;;;;
1993;Santa Fe;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Santiago del Estero;13000;9100;0;0;3900;0;;;;;;;;;;;;;;;;;;
1993;Tierra del Fuego;28.05;28.05;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Tucumán;4412;3703;4;0;705;0;;;;;;;;;;;;;;;;;;
1994;Buenos Aires;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1994;Catamarca;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1994;Chaco;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1994;Chubut;3296.75;2157.75;39;0;1100;0;;;;;;;;;;;;;;;;;;
1994;Córdoba;240196;187812;100;0;52284;0;;;;;;;;;;;;;;;;;;
1994;Corrientes;140;0;72;0;68;0;;;;;;;;;;;;;;;;;;
1994;Entre Ríos;91;91;0;0;0;0;;;;;;;;;;;;;;;;;;
1994;Formosa;9;0;0;0;9;0;;;;;;;;;;;;;;;;;;
1994;Jujuy;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1994;La Pampa;621840;167890;0;0;0;453950;;;;;;;;;;;;;;;;;;
1994;La Rioja;47150;10600;0;0;36550;0;;;;;;;;;;;;;;;;;;
1994;Mendoza;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1994;Misiones;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1994;Neuquén;18050.255;0.18;150.02;0;17900055;0;;;;;;;;;;;;;;;;;;
1994;Río Negro;3271;3063;146;0;62;0;;;;;;;;;;;;;;;;;;
1994;Salta;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1994;San Juan;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1994;San Luis;25513;0;0;0;0;25513;;;;;;;;;;;;;;;;;;
1994;Santa Cruz;1684;43;0;0;1641;0;;;;;;;;;;;;;;;;;;
1994;Santa Fe;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1994;Santiago del Estero;50000;35000;0;0;15000;0;;;;;;;;;;;;;;;;;;
1994;Tierra del Fuego;320.04;68.04;0;0;252;0;;;;;;;;;;;;;;;;;;
1994;Tucumán;65;0;0;0;65;0;;;;;;;;;;;;;;;;;;
1995;Buenos Aires;3000;0;0;0;3000;0;;;;;;;;;;;;;;;;;;
1995;Catamarca;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1995;Chaco;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1995;Chubut;3072.8114;9829548;486636;0;2041193;0;;;;;;;;;;;;;;;;;;
1995;Córdoba;300639;122260;1530;0;176849;0;;;;;;;;;;;;;;;;;;
1995;Corrientes;7899;0;3562;0;4337;0;;;;;;;;;;;;;;;;;;
1995;Entre Ríos;2269;0;2269;0;0;0;;;;;;;;;;;;;;;;;;
1995;Formosa;500;500;0;0;0;0;;;;;;;;;;;;;;;;;;
1995;Jujuy;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1995;La Pampa;148720;148720;0;0;0;0;;;;;;;;;;;;;;;;;;
1995;La Rioja;4514;2;0;0;4512;0;;;;;;;;;;;;;;;;;;
1995;Mendoza;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1995;Misiones;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1995;Neuquén;20354.1184;1124.99;1;0;192281284;0;;;;;;;;;;;;;;;;;;
1995;Río Negro;9732.3;123.2;42.4;0;9566.7;0;;;;;;;;;;;;;;;;;;
1995;Salta;660;255;240;0;165;0;;;;;;;;;;;;;;;;;;
1995;San Juan;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1995;San Luis;196312;75311;0;0;121001;0;;;;;;;;;;;;;;;;;;
1995;Santa Cruz;5695;0;0;0;5695;0;;;;;;;;;;;;;;;;;;
1995;Santa Fe;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1995;Santiago del Estero;27294;13919;0;0;13375;0;;;;;;;;;;;;;;;;;;
1995;Tierra del Fuego;215952;2952;0;0;213;0;;;;;;;;;;;;;;;;;;
1995;Tucumán;68.54;22.77;0.03;0;45.74;0;;;;;;;;;;;;;;;;;;
1996;Buenos Aires;950;0;100;0;850;0;;;;;;;;;;;;;;;;;;
1996;Catamarca;148709;68728;0;0;79981;0;;;;;;;;;;;;;;;;;;
1996;Chaco;6183.7604;2540;0;0;36437604;0;;;;;;;;;;;;;;;;;;
1996;Chubut;11457.229;9640.36;76.29;0;1740579;0;;;;;;;;;;;;;;;;;;
1996;Córdoba;49812;43325;0;0;6487;0;;;;;;;;;;;;;;;;;;
1996;Corrientes;6981;0;1232;0;5749;0;;;;;;;;;;;;;;;;;;
1996;Entre Ríos;1556;449;1107;0;0;0;;;;;;;;;;;;;;;;;;
1996;Formosa;4530;0;0;0;4530;0;;;;;;;;;;;;;;;;;;
1996;Jujuy;1980;1800;0;0;180;0;;;;;;;;;;;;;;;;;;
1996;La Pampa;20600;20600;0;0;0;0;;;;;;;;;;;;;;;;;;
1996;La Rioja;975;770;50;0;155;0;;;;;;;;;;;;;;;;;;
1996;Mendoza;6615;2500;0;0;4115;0;;;;;;;;;;;;;;;;;;
1996;Misiones;5305;2430;2235;0;640;0;;;;;;;;;;;;;;;;;;
1996;Neuquén;70258.3347;98388;11.25;0;702372459;0;;;;;;;;;;;;;;;;;;
1996;Río Negro;33743.4854;3336.94;3995.93;0;264106154;0;;;;;;;;;;;;;;;;;;
1996;Salta;2391;815;861;0;715;0;;;;;;;;;;;;;;;;;;
1996;San Luis;15370;15370;0;0;0;0;;;;;;;;;;;;;;;;;;
1996;Santa Cruz;2856.25;39;0;0;2817.25;0;;;;;;;;;;;;;;;;;;
1996;Santa Fe;49038;465;0;0;48573;0;;;;;;;;;;;;;;;;;;
1996;Santiago del Estero;1750;1500;0;0;250;0;;;;;;;;;;;;;;;;;;
1996;Tierra del Fuego;105.105;93.1;0;0;12005;0;;;;;;;;;;;;;;;;;;
1996;Tucumán;31.5;0;0;0;31.5;0;;;;;;;;;;;;;;;;;;
1997;Buenos Aires;3902.25;489;334;355.25;2724;0;;;;;;;;;;;;;;;;;;
1997;Catamarca;45900;0;0;3900;42000;0;;;;;;;;;;;;;;;;;;
1997;Chaco;7660;2711;909;0;4040;0;;;;;;;;;;;;;;;;;;
1997;Chubut;3621.94;151.29;39.95;45.5;3385.2;0;;;;;;;;;;;;;;;;;;
1997;Córdoba;39517;22213;169;3773;13362;0;;;;;;;;;;;;;;;;;;
1997;Corrientes;424;58;50;113;203;0;;;;;;;;;;;;;;;;;;
1997;Entre Ríos;857;163;353;63;278;0;;;;;;;;;;;;;;;;;;
1997;Formosa;2686;0;4;300;2382;0;;;;;;;;;;;;;;;;;;
1997;Jujuy;274;0;228;0;46;0;;;;;;;;;;;;;;;;;;
1997;La Pampa;31780;31770;0;10;0;0;;;;;;;;;;;;;;;;;;
1997;La Rioja;25003;0;0;0;25003;0;;;;;;;;;;;;;;;;;;
1997;Mendoza;4100;2450;0;1100;550;0;;;;;;;;;;;;;;;;;;
1997;Misiones;2160;54;1218;259;629;0;;;;;;;;;;;;;;;;;;
1997;Neuquén;17280.3806;401434;2.05;3912959;168468913;0;;;;;;;;;;;;;;;;;;
1997;Río Negro;10481.5274;51537925;418331;261.77;46476339;0;;;;;;;;;;;;;;;;;;
1997;Salta;40185;23694;1253;7377;7861;0;;;;;;;;;;;;;;;;;;
1997;San Juan;438.5;0;12.5;31.5;394.5;0;;;;;;;;;;;;;;;;;;
1997;San Luis;6436;2112;0;2282;2042;0;;;;;;;;;;;;;;;;;;
1997;Santa Cruz;21381;0;9;6003;15369;0;;;;;;;;;;;;;;;;;;
1997;Santa Fe;492;40;0;38.25;413.75;0;;;;;;;;;;;;;;;;;;
1997;Santiago del Estero;8000;500;0;0;7500;0;;;;;;;;;;;;;;;;;;
1997;Tierra del Fuego;148.08;23;0;1;124.08;0;;;;;;;;;;;;;;;;;;
1997;Tucumán;1321;0;0;0;1321;0;;;;;;;;;;;;;;;;;;
1998;Buenos Aires;38970.5;401;1427;1723.25;35409.25;10;;;;;;;;;;;;;;;;;;
1998;Catamarca;2100;500;0;0;1600;0;;;;;;;;;;;;;;;;;;
1998;Chaco;14726.26;0;0.15;0;14726.11;0;;;;;;;;;;;;;;;;;;
1998;Chubut;7671.88;4045.19;131.55;742.22;2752.92;0;;;;;;;;;;;;;;;;;;
1998;Córdoba;20504;8817;4;9503;2180;0;;;;;;;;;;;;;;;;;;
1998;Corrientes;315;0;0;152;163;0;;;;;;;;;;;;;;;;;;
1998;Entre Ríos;461;8;312;0;141;0;;;;;;;;;;;;;;;;;;
1998;Formosa;711.16;0;0;0;711.16;0;;;;;;;;;;;;;;;;;;
1998;Jujuy;498.61;449;45;4.5;0.11;0;;;;;;;;;;;;;;;;;;
1998;La Pampa;389740;137265;0;252475;0;0;;;;;;;;;;;;;;;;;;
1998;La Rioja;21012;1802;0;0;19210;0;;;;;;;;;;;;;;;;;;
1998;Mendoza;111460;12403;0;9433;89624;0;;;;;;;;;;;;;;;;;;
1998;Misiones;5514;286;1246;1708;2204;70;;;;;;;;;;;;;;;;;;
1998;Neuquén;12392.828;680528;6.5;154029;123028723;0;;;;;;;;;;;;;;;;;;
1998;Río Negro;82698.98;9384.01;505.2;9095.16;63714.61;0;;;;;;;;;;;;;;;;;;
1998;Salta;23042;14024;105;3100;5813;0;;;;;;;;;;;;;;;;;;
1998;San Juan;263.5;0;1;44.5;218;0;;;;;;;;;;;;;;;;;;
1998;San Luis;146637;87015;0;24189;35433;0;;;;;;;;;;;;;;;;;;
1998;Santa Cruz;3483;0;0;25;3458;0;;;;;;;;;;;;;;;;;;
1998;Santa Fe;534.75;0;0;36.5;498.25;0;;;;;;;;;;;;;;;;;;
1998;Santiago del Estero;2709;940;0;639;1130;0;;;;;;;;;;;;;;;;;;
1998;Tierra del Fuego;533.7374;530574;0;0.24;480.44;0;;;;;;;;;;;;;;;;;;
1999;Buenos Aires;41574;1028;2898.5;3166;34481.5;0;;;;;;;;;;;;;;;;;;
1999;Catamarca;1300;0;0;0;1300;0;;;;;;;;;;;;;;;;;;
1999;Chaco;9381465;406;0;149.97;8825495;0;;;;;;;;;;;;;;;;;;
1999;Chubut;27437.74;8903.63;9328;3388375;15136407;0;;;;;;;;;;;;;;;;;;
1999;Córdoba;59933;22306;65;0;37562;0;;;;;;;;;;;;;;;;;;
1999;Corrientes;8176;12;2523;10;5631;0;;;;;;;;;;;;;;;;;;
1999;Entre Ríos;20236.5;7118;9710;0;3408.5;0;;;;;;;;;;;;;;;;;;
1999;Formosa;6240;0;0;262;5978;0;;;;;;;;;;;;;;;;;;
1999;Jujuy;329;43;17;42;227;0;;;;;;;;;;;;;;;;;;
1999;La Pampa;77270;34830;0;42440;0;0;;;;;;;;;;;;;;;;;;
1999;La Rioja;67025;3;0;4000;63022;0;;;;;;;;;;;;;;;;;;
1999;Mendoza;67238.5;26246.5;945;25435.5;14611.5;0;;;;;;;;;;;;;;;;;;
1999;Misiones;3675;1476;948;490;761;0;;;;;;;;;;;;;;;;;;
1999;Neuquén;128756193;3226646;27283;4646555;1237596901;0;;;;;;;;;;;;;;;;;;
1999;Río Negro;593851134;108708019;11670935;45847187;4276249929;0;;;;;;;;;;;;;;;;;;
1999;Salta;14835;5865;70;2190;6710;0;;;;;;;;;;;;;;;;;;
1999;San Juan;1083.75;0;0;146.75;937;0;;;;;;;;;;;;;;;;;;
1999;San Luis;87157;34729;0;44416;8012;0;;;;;;;;;;;;;;;;;;
1999;Santa Cruz;19097.75;16.25;120.25;6086.25;12875;0;;;;;;;;;;;;;;;;;;
1999;Santa Fe;363785;44;1;9515;309.27;0;;;;;;;;;;;;;;;;;;
1999;Santiago del Estero;1200;300;0;400;500;0;;;;;;;;;;;;;;;;;;
1999;Tierra del Fuego;2138067;888337;0.0407;0;1249323;0;;;;;;;;;;;;;;;;;;
1999;Tucumán;2818;0;10;5;2803;0;;;;;;;;;;;;;;;;;;
2000;Buenos Aires;17926.5;1116;398.5;1901.5;14510.5;0;;;;;;;;;;;;;;;;;;
2000;Catamarca;77233;27000;4;26034;24195;0;;;;;;;;;;;;;;;;;;
2000;Chaco;2639.05;169;30;106.7;2333.35;0;;;;;;;;;;;;;;;;;;
2000;Chubut;1336015;268805;15702;42011;49008;0;;;;;;;;;;;;;;;;;;
2000;Ciudad Autónoma de Buenos Aires;32;1.5;0.5;2;28;0;;;;;;;;;;;;;;;;;;
2000;Córdoba;89920;20637.95;1198.15;32676.95;35406.95;0;;;;;;;;;;;;;;;;;;
2000;Corrientes;6014.2;12;3168.5;564.2;2269.5;0;;;;;;;;;;;;;;;;;;
2000;Entre Ríos;1175;646;203;145;181;0;;;;;;;;;;;;;;;;;;
2000;Formosa;731.5;0;0;64;667.5;0;;;;;;;;;;;;;;;;;;
2000;Jujuy;1167;18;400;109;640;0;;;;;;;;;;;;;;;;;;
2000;La Pampa;1411981.4;290153.7;0;1099827.7;22000;0;;;;;;;;;;;;;;;;;;
2000;La Rioja;52178;10880;45;11908;29345;0;;;;;;;;;;;;;;;;;;
2000;Mendoza;609834;385778.9;507;71183.8;152364.3;0;;;;;;;;;;;;;;;;;;
2000;Misiones;3862.47;161;462.47;1256;1983;0;;;;;;;;;;;;;;;;;;
2000;Neuquén;151805095;0.0371;0.3139;95079;151706506;0;;;;;;;;;;;;;;;;;;
2000;Río Negro;155753.09;276190203;13744349;171435793;1096160558;0;;;;;;;;;;;;;;;;;;
2000;Salta;30793;15533;2128;4469;8663;0;;;;;;;;;;;;;;;;;;
2000;San Juan;803.5;0;0;6.75;796.75;0;;;;;;;;;;;;;;;;;;
2000;San Luis;299556;149100;0;118456;32000;0;;;;;;;;;;;;;;;;;;
2000;Santa Cruz;7378.25;122.25;0;1579;5677;0;;;;;;;;;;;;;;;;;;
2000;Santa Fe;2087;127.5;117.5;353.5;1488.5;0;;;;;;;;;;;;;;;;;;
2000;Santiago del Estero;4732;2730;4;832;1166;0;;;;;;;;;;;;;;;;;;
2000;Tierra del Fuego;224058;22.31;0;0;0.0958;0;;;;;;;;;;;;;;;;;;
2000;Tucumán;15800;11800;0;0;4000;0;;;;;;;;;;;;;;;;;;
2001;Buenos Aires;755698659;19997.57;730.68;164306415;384109744;0;;;;;;;;;;;;;;;;;;
2001;Catamarca;1916;0;0;107;1809;0;;;;;;;;;;;;;;;;;;
2001;Chaco;6289175;55045;151;575.6;5507.53;0;;;;;;;;;;;;;;;;;;
2001;Chubut;58854842;4425406;8367764;5701891;531127;0;;;;;;;;;;;;;;;;;;
2001;Ciudad Autónoma de Buenos Aires;15953;0;0;0.2;15753;0;;;;;;;;;;;;;;;;;;
2001;Córdoba;83173;19234;313;5334;58292;0;;;;;;;;;;;;;;;;;;
2001;Corrientes;2824;762;494;2;1566;0;;;;;;;;;;;;;;;;;;
2001;Entre Ríos;480.7;67;199.2;79;135.5;0;;;;;;;;;;;;;;;;;;
2001;Formosa;5596;0;0;502;5094;0;;;;;;;;;;;;;;;;;;
2001;Jujuy;134.3;0;34.5;24.5;75.3;0;;;;;;;;;;;;;;;;;;
2001;La Pampa;2913817;579124;0;2334693;0;0;;;;;;;;;;;;;;;;;;
2001;La Rioja;65038;7400;0;40;57598;0;;;;;;;;;;;;;;;;;;
2001;Mendoza;420340;241056;496.8;107521;71266.2;0;;;;;;;;;;;;;;;;;;
2001;Misiones;2923.5;156;113.5;746;1908;0;;;;;;;;;;;;;;;;;;
2001;Neuquén;225517848;0.0804;0.0004;125026;225392014;0;;;;;;;;;;;;;;;;;;
2001;Río Negro;938044577;3539325145;1632655121;3525753827;5337493913;0;;;;;;;;;;;;;;;;;;
2001;Salta;47611;11442;438;11864;23867;0;;;;;;;;;;;;;;;;;;
2001;San Juan;574.5;1;0;43.75;529.75;0;;;;;;;;;;;;;;;;;;
2001;San Luis;90105;54655;0;19250;16200;0;;;;;;;;;;;;;;;;;;
2001;Santa Cruz;4704.75;500.5;0;1135.5;3068.75;0;;;;;;;;;;;;;;;;;;
2001;Santa Fe;2399;7;8;77.5;2306.5;0;;;;;;;;;;;;;;;;;;
2001;Santiago del Estero;1382;1140;0;19;223;0;;;;;;;;;;;;;;;;;;
2001;Tierra del Fuego;570963;568403;0;0.1;0.156;0;;;;;;;;;;;;;;;;;;
2001;Tucumán;600;0;0;0;600;0;;;;;;;;;;;;;;;;;;
2002;Buenos Aires;104906818;31432893;13307544;4154415;67988756;0;;;;;;;;;;;;;;;;;;
2002;Catamarca;43524765;9097;300.25;29237535;312037615;0;;;;;;;;;;;;;;;;;;
2002;Chaco;144974;1111;0;44292;99571;0;;;;;;;;;;;;;;;;;;
2002;Chubut;76407598;1556582;16815;72678593;2004273;0;;;;;;;;;;;;;;;;;;
2002;Córdoba;104773;25734;8449;28510;42080;0;;;;;;;;;;;;;;;;;;
2002;Corrientes;4025;1046;735;243;2001;0;;;;;;;;;;;;;;;;;;
2002;Entre Ríos;496;236;118.5;31;110.5;0;;;;;;;;;;;;;;;;;;
2002;Formosa;9687;4;0;14;9669;0;;;;;;;;;;;;;;;;;;
2002;Jujuy;139.5;14;53.7;28.5;43.3;0;;;;;;;;;;;;;;;;;;
2002;La Pampa;985793;304458;0;668185;13150;0;;;;;;;;;;;;;;;;;;
2002;La Rioja;78422;40447;0;0;37975;0;;;;;;;;;;;;;;;;;;
2002;Mendoza;333429.5;90001.91;1500;127066.04;114861.55;0;;;;;;;;;;;;;;;;;;
2002;Misiones;575.23;49.3;197.86;105.5;222.57;0;;;;;;;;;;;;;;;;;;
2002;Neuquén;8440087;9399826;26121;16086;74958837;0;;;;;;;;;;;;;;;;;;
2002;Río Negro;333616784;808756346;29795128;1817688611;679927751;0;;;;;;;;;;;;;;;;;;
2002;Salta;36516;9682;611;9596;16627;0;;;;;;;;;;;;;;;;;;
2002;San Juan;984;14.25;48;3.5;918.25;0;;;;;;;;;;;;;;;;;;
2002;San Luis;178112;178102;10;0;0;0;;;;;;;;;;;;;;;;;;
2002;Santa Cruz;98650028;4022;0.752;592.5;52497508;0;;;;;;;;;;;;;;;;;;
2002;Santa Fe;2544.75;428.77;108.39;172.81;1834.78;0;;;;;;;;;;;;;;;;;;
2002;Santiago del Estero;8017.7;5774.2;0;2;2241.5;0;;;;;;;;;;;;;;;;;;
2002;Tierra del Fuego;231207;190352;0;0.2135;3872;0;;;;;;;;;;;;;;;;;;
2002;Tucumán;1048.5;85;0;33.5;930;0;;;;;;;;;;;;;;;;;;
2003;Buenos Aires;569735825;19535.65;1301036;2749.73;5461494085;0;;;;;;;;;;;;;;;;;;
2003;Catamarca;11080;6880;0;1505;2695;0;;;;;;;;;;;;;;;;;;
2003;Chaco;16978.4;1549;44;271;15114.4;0;;;;;;;;;;;;;;;;;;
2003;Chubut;446594549;411544;299841;428406603;17476561;0;;;;;;;;;;;;;;;;;;
2003;Ciudad Autónoma de Buenos Aires;14;0;0;0;14;0;;;;;;;;;;;;;;;;;;
2003;Córdoba;127545;51474;3308;1;72762;0;;;;;;;;;;;;;;;;;;
2003;Corrientes;2132;1109;512;0;511;0;;;;;;;;;;;;;;;;;;
2003;Entre Ríos;1381;399.5;322.5;250.5;408.5;0;;;;;;;;;;;;;;;;;;
2003;Formosa;7585.6;401.6;305;194;6685;0;;;;;;;;;;;;;;;;;;
2003;Jujuy;258.8;19.5;15.5;65;158.8;0;;;;;;;;;;;;;;;;;;
2003;La Pampa;853921;418363;0;412138;23420;0;;;;;;;;;;;;;;;;;;
2003;La Rioja;125968;99233;2006;0;24729;0;;;;;;;;;;;;;;;;;;
2003;Mendoza;612387.4;115423.1;0;225902.6;271061.7;0;;;;;;;;;;;;;;;;;;
2003;Misiones;4381071;4.5;1217255;967.5;2191816;0;;;;;;;;;;;;;;;;;;
2003;Neuquén;179082248;1106555;2708752;27879504;147387437;0;;;;;;;;;;;;;;;;;;
2003;Río Negro;448243664;483499542;4326914;2208227097;1747440862;0;;;;;;;;;;;;;;;;;;
2003;Salta;54857;10660;1584;15008;27605;0;;;;;;;;;;;;;;;;;;
2003;San Juan;2658.5;0;15.25;175;2468.25;0;;;;;;;;;;;;;;;;;;
2003;San Luis;217720;217720;0;0;0;0;;;;;;;;;;;;;;;;;;
2003;Santa Cruz;15494.25;10145;0;691.25;4658;0;;;;;;;;;;;;;;;;;;
2003;Santa Fe;4421;1255.5;53.5;178;2934;0;;;;;;;;;;;;;;;;;;
2003;Santiago del Estero;3474.1;1933;0;560;981.1;0;;;;;;;;;;;;;;;;;;
2003;Tierra del Fuego;0.3079;0.227;0;0.08;0.0009;0;;;;;;;;;;;;;;;;;;
2003;Tucumán;3563;351;21.5;44;3146.5;0;;;;;;;;;;;;;;;;;;
2004;Buenos Aires;23706408;1537.9;1446.12;3038637;17683751;0;;;;;;;;;;;;;;;;;;
2004;Catamarca;2174.5;1;0;249;1924.5;0;;;;;;;;;;;;;;;;;;
2004;Chaco;5257.4;427.5;12;279.4;4538.5;0;;;;;;;;;;;;;;;;;;
2004;Chubut;24591075;6372458;2679559;1139432;4144738;0;;;;;;;;;;;;;;;;;;
2004;Ciudad Autónoma de Buenos Aires;45;0.25;0;0;44.75;0;;;;;;;;;;;;;;;;;;
2004;Córdoba;11473;4600;41;63;6769;0;;;;;;;;;;;;;;;;;;
2004;Corrientes;5159;0;1507;0;3652;0;;;;;;;;;;;;;;;;;;
